date,worker_id,shift,dock_id,dock_in_use,items_picked,hours_worked,orders_completed,errors
2023-01-02 07:00:00,W042,PM,3,0,40,0.9,4,1
2023-01-02 08:00:00,W028,Night,2,1,42,0.67,13,0
2023-01-02 09:00:00,W016,Night,1,1,48,0.69,8,0
2023-01-02 10:00:00,W015,PM,6,1,48,0.91,9,0
2023-01-02 11:00:00,W047,Night,7,1,48,0.61,7,0
2023-01-02 12:00:00,W044,PM,3,1,49,0.56,7,0
2023-01-02 13:00:00,W003,Night,1,1,48,0.75,5,1
2023-01-02 14:00:00,W037,AM,7,1,44,0.82,3,0
2023-01-02 15:00:00,W007,AM,6,1,49,0.8,8,0
2023-01-02 16:00:00,W021,Night,5,1,41,0.86,9,0
2023-01-02 17:00:00,W009,AM,4,0,49,0.53,8,0
2023-01-02 18:00:00,W039,PM,5,0,42,0.71,11,0
2023-01-02 19:00:00,W018,AM,2,1,46,0.62,12,0
2023-01-02 20:00:00,W004,Night,5,0,45,0.88,6,2
2023-01-02 21:00:00,W025,Night,1,1,48,0.94,7,0
2023-01-02 22:00:00,W014,PM,6,0,37,0.64,9,0
2023-01-02 23:00:00,W050,Night,5,0,48,0.55,10,1
2023-01-03 00:00:00,W009,PM,1,1,43,0.63,8,0
2023-01-03 01:00:00,W026,AM,2,1,50,0.55,10,0
2023-01-03 02:00:00,W002,AM,7,0,54,0.66,8,0
2023-01-03 03:00:00,W020,PM,6,1,53,0.77,5,0
2023-01-03 04:00:00,W028,PM,5,1,35,0.99,9,1
2023-01-03 05:00:00,W047,Night,4,0,49,0.7,13,0
2023-01-03 06:00:00,W007,AM,4,1,45,0.61,14,0
2023-01-03 07:00:00,W044,PM,6,1,41,0.58,9,1
2023-01-03 08:00:00,W008,AM,4,1,38,0.59,4,0
2023-01-03 09:00:00,W047,PM,5,1,51,0.6,10,0
2023-01-03 10:00:00,W035,AM,5,0,48,0.88,4,0
2023-01-03 11:00:00,W014,Night,6,0,41,0.53,9,0
2023-01-03 12:00:00,W017,AM,5,1,33,1.0,4,0
2023-01-03 13:00:00,W036,AM,7,1,34,0.76,9,0
2023-01-03 14:00:00,W050,AM,1,1,54,0.77,3,0
2023-01-03 15:00:00,W040,AM,2,1,46,0.68,11,2
2023-01-03 16:00:00,W004,AM,7,0,44,0.85,7,0
2023-01-03 17:00:00,W002,Night,7,1,41,0.74,4,0
2023-01-03 18:00:00,W006,PM,4,0,43,0.66,8,0
2023-01-03 19:00:00,W042,AM,1,0,45,0.63,6,0
2023-01-03 20:00:00,W004,Night,6,0,35,0.96,5,0
2023-01-03 21:00:00,W029,AM,8,1,37,0.65,6,0
2023-01-03 22:00:00,W018,AM,4,0,50,0.72,5,0
2023-01-03 23:00:00,W026,PM,1,1,44,0.68,8,1
2023-01-04 00:00:00,W044,AM,5,1,52,0.54,11,1
2023-01-04 01:00:00,W034,Night,6,1,44,0.59,9,0
2023-01-04 02:00:00,W010,Night,8,1,57,0.59,5,0
2023-01-04 03:00:00,W036,PM,6,1,40,0.85,9,0
2023-01-04 04:00:00,W014,AM,8,0,43,0.7,9,0
2023-01-04 05:00:00,W031,Night,8,1,33,0.89,9,0
2023-01-04 06:00:00,W048,AM,4,1,40,0.85,9,1
2023-01-04 07:00:00,W015,AM,5,1,44,0.6,10,0
2023-01-04 08:00:00,W008,AM,4,1,45,0.78,7,2
2023-01-04 09:00:00,W014,PM,8,1,45,0.87,11,0
2023-01-04 10:00:00,W023,AM,8,1,35,0.82,11,0
2023-01-04 11:00:00,W040,Night,3,1,39,0.8,7,0
2023-01-04 12:00:00,W021,AM,1,1,58,0.87,11,0
2023-01-04 13:00:00,W016,Night,3,1,45,0.53,7,0
2023-01-04 14:00:00,W045,AM,1,1,53,0.87,6,0
2023-01-04 15:00:00,W018,Night,2,1,50,0.64,4,0
2023-01-04 16:00:00,W047,Night,7,1,35,0.79,7,0
2023-01-04 17:00:00,W024,AM,6,1,45,0.62,9,1
2023-01-04 18:00:00,W026,AM,4,1,41,0.92,10,1
2023-01-04 19:00:00,W025,Night,2,1,37,0.74,6,0
2023-01-04 20:00:00,W045,PM,2,0,44,0.82,5,0
2023-01-04 21:00:00,W041,AM,6,1,44,0.9,7,1
2023-01-04 22:00:00,W029,PM,6,1,50,0.95,13,0
2023-01-04 23:00:00,W015,AM,1,0,60,0.87,7,0
2023-01-05 00:00:00,W045,AM,3,1,55,0.57,12,0
2023-01-05 01:00:00,W001,AM,5,1,45,0.93,9,0
2023-01-05 02:00:00,W025,AM,1,1,38,0.81,14,1
2023-01-05 03:00:00,W007,PM,5,0,38,0.8,9,0
2023-01-05 04:00:00,W009,AM,2,1,38,0.96,5,1
2023-01-05 05:00:00,W024,Night,5,1,51,0.62,6,0
2023-01-05 06:00:00,W001,Night,3,1,55,0.62,5,0
2023-01-05 07:00:00,W044,PM,1,0,49,0.76,4,0
2023-01-05 08:00:00,W008,AM,8,1,44,0.88,10,0
2023-01-05 09:00:00,W024,Night,6,1,51,0.72,6,0
2023-01-05 10:00:00,W011,PM,8,1,51,0.82,12,1
2023-01-05 11:00:00,W017,AM,3,1,39,0.73,4,0
2023-01-05 12:00:00,W008,Night,7,1,51,0.81,6,1
2023-01-05 13:00:00,W035,Night,3,1,52,0.91,8,0
2023-01-05 14:00:00,W035,PM,7,1,45,0.59,12,0
2023-01-05 15:00:00,W033,AM,1,1,37,0.85,9,1
2023-01-05 16:00:00,W005,AM,6,1,34,0.89,5,0
2023-01-05 17:00:00,W042,Night,3,1,44,0.72,6,0
2023-01-05 18:00:00,W039,Night,8,0,37,0.66,8,0
2023-01-05 19:00:00,W041,Night,7,1,39,0.51,7,0
2023-01-05 20:00:00,W028,AM,6,0,39,0.9,5,0
2023-01-05 21:00:00,W007,PM,4,0,48,0.66,9,0
2023-01-05 22:00:00,W009,PM,4,1,51,0.68,8,0
2023-01-05 23:00:00,W008,AM,4,1,36,0.67,11,0
2023-01-06 00:00:00,W012,PM,5,1,54,0.75,6,0
2023-01-06 01:00:00,W034,Night,3,1,37,0.85,12,0
2023-01-06 02:00:00,W033,PM,1,1,47,0.89,8,0
2023-01-06 03:00:00,W048,PM,8,1,43,0.7,8,0
2023-01-06 04:00:00,W023,PM,1,1,41,0.83,5,0
2023-01-06 05:00:00,W024,Night,5,1,36,0.86,11,0
2023-01-06 06:00:00,W037,AM,1,1,35,0.65,8,1
2023-01-06 07:00:00,W035,Night,7,1,42,0.55,4,0
2023-01-06 08:00:00,W044,AM,4,1,41,0.95,7,0
2023-01-06 09:00:00,W040,AM,8,0,37,0.84,7,0
2023-01-06 10:00:00,W022,AM,3,0,38,0.82,5,1
2023-01-06 11:00:00,W027,PM,1,0,36,0.53,6,0
2023-01-06 12:00:00,W035,PM,1,0,40,0.91,9,0
2023-01-06 13:00:00,W001,AM,2,1,34,0.78,8,0
2023-01-06 14:00:00,W035,AM,2,0,60,0.92,6,0
2023-01-06 15:00:00,W037,PM,2,0,48,0.99,8,1
2023-01-06 16:00:00,W047,Night,3,0,33,0.98,9,0
2023-01-06 17:00:00,W014,AM,4,0,54,0.93,5,0
2023-01-06 18:00:00,W003,Night,6,0,50,0.51,9,0
2023-01-06 19:00:00,W001,PM,4,1,57,0.94,15,0
2023-01-06 20:00:00,W005,AM,8,1,53,0.54,6,0
2023-01-06 21:00:00,W026,Night,4,0,41,0.93,7,0
2023-01-06 22:00:00,W014,Night,3,1,58,0.64,7,0
2023-01-06 23:00:00,W039,Night,7,1,41,0.81,11,1
2023-01-07 00:00:00,W027,PM,7,0,52,0.52,7,0
2023-01-07 01:00:00,W009,PM,3,1,52,0.89,9,0
2023-01-07 02:00:00,W015,Night,2,1,42,0.56,6,1
2023-01-07 03:00:00,W015,Night,1,1,34,0.71,12,0
2023-01-07 04:00:00,W026,PM,5,1,45,0.91,14,1
2023-01-07 05:00:00,W042,Night,5,0,57,0.85,9,0
2023-01-07 06:00:00,W013,Night,6,1,51,0.5,6,0
2023-01-07 07:00:00,W032,PM,1,1,32,0.7,7,0
2023-01-07 08:00:00,W039,Night,6,1,46,0.52,6,1
2023-01-07 09:00:00,W049,Night,2,0,52,0.84,7,0
2023-01-07 10:00:00,W032,Night,6,1,46,0.98,9,2
2023-01-07 11:00:00,W004,PM,1,1,47,0.83,6,0
2023-01-07 12:00:00,W030,Night,8,1,47,0.61,6,0
2023-01-07 13:00:00,W037,PM,1,0,50,0.68,5,0
2023-01-07 14:00:00,W023,PM,5,1,65,0.99,5,0
2023-01-07 15:00:00,W039,AM,7,1,60,0.61,6,0
2023-01-07 16:00:00,W045,AM,2,1,48,0.78,12,0
2023-01-07 17:00:00,W015,Night,8,1,43,0.7,4,0
2023-01-07 18:00:00,W043,PM,3,1,49,0.88,9,0
2023-01-07 19:00:00,W029,AM,8,1,46,0.93,6,1
2023-01-07 20:00:00,W036,Night,8,1,56,0.67,5,0
2023-01-07 21:00:00,W013,AM,6,1,49,0.83,11,1
2023-01-07 22:00:00,W032,AM,5,1,48,0.77,6,0
2023-01-07 23:00:00,W007,PM,6,0,41,0.64,1,0
2023-01-08 00:00:00,W022,PM,6,1,37,0.64,9,1
2023-01-08 01:00:00,W028,AM,3,1,42,0.77,8,1
2023-01-08 02:00:00,W002,AM,2,1,55,0.58,9,0
2023-01-08 03:00:00,W042,PM,1,1,54,0.91,9,1
2023-01-08 04:00:00,W045,Night,4,1,42,0.53,10,0
2023-01-08 05:00:00,W006,PM,6,1,38,0.55,7,0
2023-01-08 06:00:00,W028,AM,4,0,50,0.67,7,1
2023-01-08 07:00:00,W028,Night,2,1,40,0.56,9,0
2023-01-08 08:00:00,W044,AM,4,0,41,0.74,7,0
2023-01-08 09:00:00,W044,Night,6,0,47,0.7,10,0
2023-01-08 10:00:00,W020,AM,3,1,34,0.86,11,1
2023-01-08 11:00:00,W030,Night,4,1,43,0.98,8,0
2023-01-08 12:00:00,W011,Night,2,1,40,0.88,9,0
2023-01-08 13:00:00,W028,AM,2,0,33,0.59,9,1
2023-01-08 14:00:00,W025,Night,7,0,33,0.97,6,0
2023-01-08 15:00:00,W039,PM,7,1,39,0.7,9,0
2023-01-08 16:00:00,W033,AM,3,1,54,0.74,10,0
2023-01-08 17:00:00,W001,PM,4,0,39,0.71,9,0
2023-01-08 18:00:00,W027,AM,4,1,49,0.64,12,0
2023-01-08 19:00:00,W013,Night,7,1,51,0.95,15,1
2023-01-08 20:00:00,W041,Night,1,1,42,0.67,11,1
2023-01-08 21:00:00,W003,Night,5,1,30,0.79,8,1
2023-01-08 22:00:00,W039,AM,2,1,54,0.62,5,0
2023-01-08 23:00:00,W006,PM,1,1,58,0.9,7,0
2023-01-09 00:00:00,W008,PM,2,1,58,0.89,6,0
2023-01-09 01:00:00,W027,AM,8,0,35,0.65,8,0
2023-01-09 02:00:00,W009,AM,8,1,43,0.84,8,1
2023-01-09 03:00:00,W037,PM,1,1,45,0.85,9,0
2023-01-09 04:00:00,W033,PM,8,1,61,0.78,8,0
2023-01-09 05:00:00,W042,PM,7,1,54,0.8,8,0
2023-01-09 06:00:00,W044,PM,7,0,45,0.79,5,0
2023-01-09 07:00:00,W024,AM,5,0,43,0.54,7,0
2023-01-09 08:00:00,W015,AM,1,1,52,0.84,8,0
2023-01-09 09:00:00,W032,Night,2,1,31,0.73,10,2
2023-01-09 10:00:00,W032,PM,4,0,51,0.72,11,0
2023-01-09 11:00:00,W024,Night,2,1,47,0.93,3,0
2023-01-09 12:00:00,W041,AM,6,1,54,0.51,7,0
2023-01-09 13:00:00,W049,AM,7,1,41,0.63,16,1
2023-01-09 14:00:00,W049,Night,3,1,38,0.56,7,0
2023-01-09 15:00:00,W012,PM,3,1,43,0.52,8,1
2023-01-09 16:00:00,W039,PM,7,1,45,0.64,16,0
2023-01-09 17:00:00,W002,PM,6,1,46,0.99,8,0
2023-01-09 18:00:00,W003,PM,3,0,41,0.64,9,0
2023-01-09 19:00:00,W049,Night,8,0,50,0.83,8,2
2023-01-09 20:00:00,W037,Night,7,0,40,0.56,10,1
2023-01-09 21:00:00,W049,AM,3,1,45,0.8,9,0
2023-01-09 22:00:00,W017,PM,7,0,48,0.99,12,0
2023-01-09 23:00:00,W049,PM,5,0,50,0.65,7,0
2023-01-10 00:00:00,W002,PM,4,1,44,0.92,10,0
2023-01-10 01:00:00,W002,Night,4,0,44,1.0,9,0
2023-01-10 02:00:00,W028,PM,2,0,51,0.79,7,0
2023-01-10 03:00:00,W023,Night,6,0,46,0.65,7,0
2023-01-10 04:00:00,W037,PM,7,1,42,0.84,8,0
2023-01-10 05:00:00,W032,PM,1,0,37,0.92,2,0
2023-01-10 06:00:00,W033,AM,2,1,45,0.59,9,2
2023-01-10 07:00:00,W001,PM,2,1,44,0.73,6,1
2023-01-10 08:00:00,W019,PM,7,1,51,0.66,6,0
2023-01-10 09:00:00,W002,AM,7,1,47,0.64,11,0
2023-01-10 10:00:00,W044,Night,2,1,52,0.93,5,1
2023-01-10 11:00:00,W026,Night,2,0,45,0.71,8,0
2023-01-10 12:00:00,W032,PM,4,0,37,0.67,6,0
2023-01-10 13:00:00,W006,Night,1,0,34,0.8,12,0
2023-01-10 14:00:00,W032,PM,8,0,51,0.61,7,0
2023-01-10 15:00:00,W004,AM,2,0,45,0.61,5,0
2023-01-10 16:00:00,W011,AM,8,0,43,0.76,8,1
2023-01-10 17:00:00,W017,PM,4,1,49,0.7,8,0
2023-01-10 18:00:00,W038,AM,2,1,46,0.65,6,1
2023-01-10 19:00:00,W024,AM,3,1,40,0.53,12,0
2023-01-10 20:00:00,W005,PM,2,1,51,0.76,5,2
2023-01-10 21:00:00,W034,PM,7,0,55,0.91,8,0
2023-01-10 22:00:00,W006,AM,6,0,42,0.93,9,0
2023-01-10 23:00:00,W022,Night,6,1,44,0.62,7,0
2023-01-11 00:00:00,W011,Night,2,0,42,0.8,10,1
2023-01-11 01:00:00,W048,PM,5,0,48,0.93,7,0
2023-01-11 02:00:00,W016,PM,3,1,54,0.7,12,0
2023-01-11 03:00:00,W033,Night,1,1,38,0.97,5,0
2023-01-11 04:00:00,W009,AM,2,1,47,0.95,10,0
2023-01-11 05:00:00,W006,Night,8,0,40,0.6,4,1
2023-01-11 06:00:00,W016,Night,1,1,49,0.63,10,1
2023-01-11 07:00:00,W029,Night,3,1,46,0.59,6,0
2023-01-11 08:00:00,W003,Night,2,1,50,0.6,10,0
2023-01-11 09:00:00,W020,PM,5,1,51,0.95,6,1
2023-01-11 10:00:00,W036,PM,4,1,54,0.97,7,0
2023-01-11 11:00:00,W019,AM,5,0,52,0.53,7,0
2023-01-11 12:00:00,W026,AM,7,1,39,0.8,8,0
2023-01-11 13:00:00,W003,AM,5,1,42,0.78,8,0
2023-01-11 14:00:00,W019,AM,8,1,44,0.7,7,1
2023-01-11 15:00:00,W020,Night,4,1,49,0.82,11,0
2023-01-11 16:00:00,W032,PM,7,1,41,0.97,7,0
2023-01-11 17:00:00,W007,PM,4,1,36,0.59,10,0
2023-01-11 18:00:00,W041,AM,6,1,37,0.56,9,0
2023-01-11 19:00:00,W033,AM,4,1,48,0.52,15,0
2023-01-11 20:00:00,W040,Night,2,1,45,0.68,12,0
2023-01-11 21:00:00,W039,Night,1,0,35,0.67,5,0
2023-01-11 22:00:00,W018,AM,6,0,38,0.72,7,0
2023-01-11 23:00:00,W040,PM,6,1,38,0.75,7,1
2023-01-12 00:00:00,W001,PM,1,1,43,0.88,7,0
2023-01-12 01:00:00,W011,PM,8,1,45,0.7,7,2
2023-01-12 02:00:00,W028,AM,6,1,49,0.67,6,0
2023-01-12 03:00:00,W025,PM,4,0,51,0.91,8,0
2023-01-12 04:00:00,W050,Night,5,0,42,0.92,7,0
2023-01-12 05:00:00,W023,Night,3,1,61,0.62,10,0
2023-01-12 06:00:00,W031,AM,8,0,52,0.66,10,1
2023-01-12 07:00:00,W030,Night,4,1,52,0.91,6,0
2023-01-12 08:00:00,W042,AM,7,0,38,0.54,7,0
2023-01-12 09:00:00,W035,PM,7,0,36,0.66,12,0
2023-01-12 10:00:00,W007,PM,5,1,39,0.72,6,1
2023-01-12 11:00:00,W016,PM,8,1,46,0.59,8,1
2023-01-12 12:00:00,W026,Night,8,1,56,0.59,8,0
2023-01-12 13:00:00,W048,AM,5,0,46,0.71,4,0
2023-01-12 14:00:00,W049,PM,8,1,40,0.88,10,0
2023-01-12 15:00:00,W002,AM,6,1,43,0.92,11,0
2023-01-12 16:00:00,W001,PM,2,1,46,0.99,4,1
2023-01-12 17:00:00,W048,Night,2,1,46,0.54,5,0
2023-01-12 18:00:00,W012,Night,8,0,38,0.61,1,0
2023-01-12 19:00:00,W005,AM,6,1,47,0.88,9,0
2023-01-12 20:00:00,W037,Night,6,1,42,0.77,10,0
2023-01-12 21:00:00,W032,Night,1,1,56,0.66,13,0
2023-01-12 22:00:00,W009,AM,1,0,47,0.6,8,0
2023-01-12 23:00:00,W041,PM,3,1,57,0.64,6,1
2023-01-13 00:00:00,W035,Night,3,1,65,0.71,11,0
2023-01-13 01:00:00,W019,AM,3,0,37,0.59,7,0
2023-01-13 02:00:00,W048,Night,3,0,46,0.98,10,0
2023-01-13 03:00:00,W016,Night,5,1,54,0.55,7,0
2023-01-13 04:00:00,W003,Night,5,1,55,0.99,5,0
2023-01-13 05:00:00,W020,Night,1,1,52,0.92,4,0
2023-01-13 06:00:00,W024,AM,2,1,35,0.71,6,0
2023-01-13 07:00:00,W033,AM,6,1,44,0.87,9,0
2023-01-13 08:00:00,W024,AM,7,1,40,0.84,9,1
2023-01-13 09:00:00,W011,Night,2,0,45,0.61,6,0
2023-01-13 10:00:00,W049,Night,4,1,44,0.67,7,0
2023-01-13 11:00:00,W008,Night,5,1,45,0.76,7,1
2023-01-13 12:00:00,W036,AM,3,0,50,0.82,8,0
2023-01-13 13:00:00,W038,Night,3,1,46,0.77,4,0
2023-01-13 14:00:00,W040,PM,4,1,57,0.74,7,0
2023-01-13 15:00:00,W020,Night,2,1,38,0.72,12,1
2023-01-13 16:00:00,W035,PM,3,1,53,0.75,9,0
2023-01-13 17:00:00,W048,Night,2,1,44,0.72,7,1
2023-01-13 18:00:00,W025,AM,6,0,53,0.77,2,1
2023-01-13 19:00:00,W035,Night,4,1,40,0.94,7,0
2023-01-13 20:00:00,W025,PM,7,1,45,0.82,9,0
2023-01-13 21:00:00,W029,PM,2,1,54,0.86,10,0
2023-01-13 22:00:00,W018,Night,6,1,44,0.8,8,0
2023-01-13 23:00:00,W046,PM,8,1,50,0.82,5,1
2023-01-14 00:00:00,W018,PM,8,0,44,0.79,5,0
2023-01-14 01:00:00,W002,AM,2,0,48,0.51,11,0
2023-01-14 02:00:00,W035,Night,8,1,39,1.0,12,1
2023-01-14 03:00:00,W016,Night,2,0,41,0.52,9,1
2023-01-14 04:00:00,W041,Night,3,0,43,0.7,11,1
2023-01-14 05:00:00,W036,PM,1,1,59,0.55,11,0
2023-01-14 06:00:00,W033,Night,8,1,33,0.55,9,0
2023-01-14 07:00:00,W004,Night,5,0,41,0.9,9,0
2023-01-14 08:00:00,W033,AM,2,1,40,0.71,5,0
2023-01-14 09:00:00,W014,AM,2,1,45,0.9,5,1
2023-01-14 10:00:00,W021,AM,2,1,47,0.64,10,1
2023-01-14 11:00:00,W048,PM,1,1,44,0.63,15,0
2023-01-14 12:00:00,W020,Night,6,1,42,0.63,7,0
2023-01-14 13:00:00,W008,AM,8,0,41,0.81,11,0
2023-01-14 14:00:00,W007,AM,7,0,43,0.91,7,1
2023-01-14 15:00:00,W003,AM,7,1,45,0.73,5,0
2023-01-14 16:00:00,W017,Night,4,1,48,0.69,8,0
2023-01-14 17:00:00,W033,Night,3,1,44,0.99,14,0
2023-01-14 18:00:00,W048,Night,1,1,52,0.56,11,1
2023-01-14 19:00:00,W012,PM,6,1,49,0.74,11,0
2023-01-14 20:00:00,W022,PM,2,1,43,0.7,11,0
2023-01-14 21:00:00,W022,AM,6,0,38,0.55,13,0
2023-01-14 22:00:00,W046,Night,1,0,39,0.63,9,0
2023-01-14 23:00:00,W030,AM,1,1,39,0.51,8,0
2023-01-15 00:00:00,W038,Night,1,0,51,0.94,6,0
2023-01-15 01:00:00,W038,Night,4,0,47,0.8,5,0
2023-01-15 02:00:00,W045,Night,5,1,53,0.91,11,0
2023-01-15 03:00:00,W008,PM,3,1,50,0.76,7,0
2023-01-15 04:00:00,W027,PM,4,1,44,0.8,7,0
2023-01-15 05:00:00,W027,Night,4,0,45,0.85,6,1
2023-01-15 06:00:00,W034,AM,8,0,47,0.95,11,0
2023-01-15 07:00:00,W021,Night,5,0,40,0.55,7,1
2023-01-15 08:00:00,W030,Night,4,1,36,0.67,8,0
2023-01-15 09:00:00,W033,AM,1,1,50,0.85,7,0
2023-01-15 10:00:00,W028,Night,1,1,48,0.98,11,0
2023-01-15 11:00:00,W047,AM,8,1,36,0.99,9,1
2023-01-15 12:00:00,W033,PM,6,1,38,0.82,7,0
2023-01-15 13:00:00,W005,PM,2,0,43,0.6,9,0
2023-01-15 14:00:00,W048,AM,4,1,51,0.56,5,1
2023-01-15 15:00:00,W019,PM,2,1,49,0.97,5,0
2023-01-15 16:00:00,W004,PM,3,1,52,0.72,5,0
2023-01-15 17:00:00,W035,AM,7,1,46,0.6,7,0
2023-01-15 18:00:00,W049,PM,1,0,43,0.97,10,0
2023-01-15 19:00:00,W017,Night,6,1,44,0.55,10,0
2023-01-15 20:00:00,W044,Night,3,1,49,0.86,5,0
2023-01-15 21:00:00,W028,AM,8,0,34,0.81,5,0
2023-01-15 22:00:00,W030,PM,6,0,33,0.54,3,0
2023-01-15 23:00:00,W029,Night,7,1,46,0.67,11,0
2023-01-16 00:00:00,W046,Night,7,1,36,0.57,6,0
2023-01-16 01:00:00,W006,PM,8,0,33,0.8,9,0
2023-01-16 02:00:00,W035,PM,5,1,49,0.74,4,0
2023-01-16 03:00:00,W041,Night,8,0,44,0.5,6,0
2023-01-16 04:00:00,W037,Night,1,1,26,0.99,9,0
2023-01-16 05:00:00,W024,AM,3,0,40,0.67,4,0
2023-01-16 06:00:00,W029,AM,5,0,50,0.63,7,0
2023-01-16 07:00:00,W049,Night,7,1,43,0.61,6,0
2023-01-16 08:00:00,W046,AM,3,0,51,0.58,7,1
2023-01-16 09:00:00,W031,Night,6,1,50,1.0,3,2
2023-01-16 10:00:00,W035,Night,5,0,57,0.65,7,0
2023-01-16 11:00:00,W033,AM,5,1,45,0.7,9,0
2023-01-16 12:00:00,W021,AM,1,0,58,0.94,6,0
2023-01-16 13:00:00,W032,PM,8,1,36,0.82,9,0
2023-01-16 14:00:00,W023,PM,2,1,36,0.68,8,0
2023-01-16 15:00:00,W033,PM,6,0,46,0.95,5,0
2023-01-16 16:00:00,W003,Night,6,1,42,0.87,8,0
2023-01-16 17:00:00,W018,AM,8,0,45,0.61,11,0
2023-01-16 18:00:00,W025,Night,5,1,36,0.82,5,0
2023-01-16 19:00:00,W042,AM,5,0,30,0.96,9,1
2023-01-16 20:00:00,W031,Night,1,1,44,0.75,7,0
2023-01-16 21:00:00,W003,PM,2,1,46,0.87,13,0
2023-01-16 22:00:00,W040,PM,6,1,51,0.99,9,0
2023-01-16 23:00:00,W046,PM,7,1,47,0.85,8,0
2023-01-17 00:00:00,W024,Night,4,1,47,0.55,8,0
2023-01-17 01:00:00,W050,AM,4,1,45,0.62,7,0
2023-01-17 02:00:00,W032,AM,2,1,54,0.8,6,1
2023-01-17 03:00:00,W047,PM,3,1,43,0.64,14,1
2023-01-17 04:00:00,W022,PM,1,0,44,0.98,10,0
2023-01-17 05:00:00,W023,PM,2,1,43,0.7,5,0
2023-01-17 06:00:00,W002,PM,8,1,39,0.73,12,0
2023-01-17 07:00:00,W027,AM,8,1,46,0.85,9,1
2023-01-17 08:00:00,W042,Night,4,1,49,0.76,13,3
2023-01-17 09:00:00,W002,Night,5,0,40,0.69,8,0
2023-01-17 10:00:00,W026,Night,4,1,50,0.54,11,0
2023-01-17 11:00:00,W017,Night,5,0,51,0.8,6,0
2023-01-17 12:00:00,W040,PM,1,0,48,0.93,9,0
2023-01-17 13:00:00,W033,PM,5,0,58,0.84,7,0
2023-01-17 14:00:00,W009,PM,2,1,39,0.69,3,0
2023-01-17 15:00:00,W043,Night,5,0,50,0.56,5,0
2023-01-17 16:00:00,W048,PM,3,0,38,0.91,6,0
2023-01-17 17:00:00,W039,PM,8,1,49,0.97,6,1
2023-01-17 18:00:00,W029,AM,2,0,45,0.69,5,1
2023-01-17 19:00:00,W042,AM,8,0,46,0.86,6,0
2023-01-17 20:00:00,W026,PM,1,0,38,0.71,6,0
2023-01-17 21:00:00,W035,AM,2,1,40,0.75,10,1
2023-01-17 22:00:00,W050,AM,3,1,45,0.92,9,2
2023-01-17 23:00:00,W025,PM,1,0,32,0.54,9,0
2023-01-18 00:00:00,W024,PM,4,1,45,0.77,11,0
2023-01-18 01:00:00,W013,PM,3,1,38,0.61,4,0
2023-01-18 02:00:00,W007,PM,1,0,40,0.67,4,0
2023-01-18 03:00:00,W036,Night,7,0,34,0.82,5,0
2023-01-18 04:00:00,W045,Night,5,1,35,0.51,8,0
2023-01-18 05:00:00,W020,PM,2,1,41,0.8,5,1
2023-01-18 06:00:00,W001,AM,1,0,45,0.64,5,0
2023-01-18 07:00:00,W008,PM,2,0,47,0.83,10,1
2023-01-18 08:00:00,W046,PM,5,1,43,0.57,10,0
2023-01-18 09:00:00,W016,AM,1,0,54,0.87,6,1
2023-01-18 10:00:00,W014,Night,4,1,46,0.82,16,0
2023-01-18 11:00:00,W012,PM,7,1,37,0.99,10,1
2023-01-18 12:00:00,W023,PM,7,1,49,0.96,10,0
